"","Subject","Location","Description","Start Date","Start Time","End Date","End Time"
"47","印度 India: Matri Bhumi (1959)","中国电影资料馆,小西天艺术影院,1号厅","意大利语
中文
￥50
淘票票网售，当日现场售票",2019-03-08,"19:00:00",2019-03-08,"20:38:00"
"48","鼓书艺人 (1987)","中国电影资料馆,小西天艺术影院,2号厅","汉语普通话
中文
￥20
淘票票网售，当日现场售票",2019-03-07,"18:30:00",2019-03-07,"20:23:00"
"49","大佬 Brother (2000)","中国电影资料馆,小西天艺术影院,1号厅","英语 / 日语 / 意大利语 / 西班牙语
中文
￥30
当日现场售票",2019-03-07,"19:00:00",2019-03-07,"21:04:00"
"50","劳拉·蒙特斯 Lola Montès (1955)","中国电影资料馆,小西天艺术影院,2号厅","法语 / 英语 / 德语
中文
￥30
淘票票网售，当日现场售票",2019-03-06,"18:30:00",2019-03-06,"20:05:00"
"51","我这一辈子 (1950)","中国电影资料馆,小西天艺术影院,1号厅","汉语普通话 / 日语
中文
￥10
淘票票网售，当日现场售票",2019-03-06,"19:00:00",2019-03-06,"20:46:00"
"52","三打陶三春 (1983)","中国电影资料馆,小西天艺术影院,2号厅","汉语普通话
中文
￥20
淘票票网售，当日现场售票",2019-03-05,"18:30:00",2019-03-05,"20:22:00"
"53","帝国的毁灭 Der Untergang (2004)","中国电影资料馆,小西天艺术影院,1号厅","德语 / 俄语
中文
￥30
当日现场售票",2019-03-05,"19:00:00",2019-03-05,"20:58:00"
"54","秘密炸弹 La macchina ammazzacattivi (1952)","中国电影资料馆,小西天艺术影院,1号厅","意大利语
中文
￥50
淘票票网售，当日现场售票",2019-03-03,"13:00:00",2019-03-03,"15:12:00"
"55","推拿 (2014)","中国电影资料馆,小西天艺术影院,2号厅","汉语普通话
中文
￥30
淘票票网售，当日现场售票",2019-03-03,"13:30:00",2019-03-03,"14:45:00"
"56","战火 Paisà (1946)","中国电影资料馆,小西天艺术影院,1号厅","意大利语 / 英语 / 德语 / 西西里语
中文
￥60
淘票票网售，当日现场售票",2019-03-03,"15:10:00",2019-03-03,"16:39:00"
"57","白日焰火 (2014)","中国电影资料馆,小西天艺术影院,2号厅","汉语普通话
中文
￥30
淘票票网售，当日现场售票",2019-03-03,"16:00:00",2019-03-03,"18:00:00"
"58","地下 Подзем<U+0459>е (1995)","中国电影资料馆,小西天艺术影院,1号厅","塞尔维亚-克罗地亚语 / 德语 / 英语 / 法语
中文
￥60
淘票票网售，当日现场售票",2019-03-03,"18:00:00",2019-03-03,"19:15:00"
"59","罗马，不设防的城市 Rome, Open City（1945）","中国电影资料馆,小西天艺术影院,1号厅","意大利语
中文
￥60
淘票票网售，当日现场售票",2019-03-02,"13:00:00",2019-03-02,"14:40:00"
"60","蒲田进行曲 蒲田行進曲 (1982)","中国电影资料馆,小西天艺术影院,2号厅","汉配
中文
￥20
淘票票网售，当日现场售票",2019-03-02,"13:30:00",2019-03-02,"15:04:00"
"61","爱情 L'amore (1948)","中国电影资料馆,小西天艺术影院,1号厅","意大利语
中文
￥50
淘票票网售，当日现场售票",2019-03-02,"15:15:00",2019-03-02,"16:37:00"
"62","秋瑾 (1984)","中国电影资料馆,小西天艺术影院,2号厅","汉语普通话
中文
￥20
淘票票网售，当日现场售票",2019-03-02,"16:00:00",2019-03-02,"19:12:00"
"63","由始至终 Les premiers, les derniers (2016)","中国电影资料馆,小西天艺术影院,1号厅","法语
中文
￥40
淘票票网售，当日现场售票",2019-03-02,"18:30:00",2019-03-02,"21:15:00"
"64","《林则徐》The Opium Wars (1959)","中国电影资料馆,小西天艺术影院,2号厅","汉语普通话
中文
￥20
淘票票网售，当日现场售票",2019-03-01,"18:30:00",2019-03-01,"20:12:00"
"65","《百元之恋》100 Yen Love（2014）","中国电影资料馆,小西天艺术影院,1号厅","日语
中文
￥50
淘票票网售，当日现场售票",2019-03-01,"19:00:00",2019-03-01,"21:12:00"
